"rhizome_length.contrast","rhizome_length.T_value","rhizome_length.P_value","rhizome_length.Signif","underbiomass.contrast","underbiomass.T_value","underbiomass.P_value","underbiomass.Signif","abovebiomass.contrast","abovebiomass.T_value","abovebiomass.P_value","abovebiomass.Signif","totalbiomass.contrast","totalbiomass.T_value","totalbiomass.P_value","totalbiomass.Signif"
"CC - NC",0.387,0.701,"","CC - NC",0.066,0.948,"","CC - NC",0.767,0.446,"","CC - NC",0.519,0.606,""
"CC - NC",NA,NA,"","CC - NC",NA,NA,"","CC - NC",NA,NA,"","CC - NC",NA,NA,""
"CC - NC",0.876,0.385,"","CC - NC",1.567,0.123,"","CC - NC",-0.936,0.353,"","CC - NC",0.543,0.59,""
"CC - NC",1.354,0.182,"","CC - NC",2.277,0.027,"*","CC - NC",-0.32,0.75,"","CC - NC",1.894,0.065,""
"CC - NC",-0.797,0.429,"","CC - NC",-2.907,0.005,"**","CC - NC",1.286,0.204,"","CC - NC",-1.525,0.134,""
"CC - NC",-2.744,0.008,"**","CC - NC",-2.899,0.006,"**","CC - NC",-1.949,0.057,"","CC - NC",-3.01,0.004,"**"
"CC - NC",-0.562,0.576,"","CC - NC",-0.965,0.339,"","CC - NC",-1.429,0.159,"","CC - NC",-1.342,0.186,""
"CC - NC",-0.167,0.868,"","CC - NC",0.907,0.369,"","CC - NC",1.28,0.206,"","CC - NC",1.24,0.221,""
"CC - NC",-0.06,0.953,"","CC - NC",0.217,0.829,"","CC - NC",0.132,0.896,"","CC - NC",0.128,0.898,""
"CC - NC",1.193,0.238,"","CC - NC",0.731,0.469,"","CC - NC",2.535,0.014,"*","CC - NC",1.693,0.097,""
"CC - NC",0.251,0.803,"","CC - NC",-0.198,0.844,"","CC - NC",-0.142,0.888,"","CC - NC",-0.2,0.842,""
"CC - NC",0.314,0.755,"","CC - NC",1.471,0.148,"","CC - NC",3.211,0.002,"**","CC - NC",2.547,0.014,"*"
