"Trait","Effect","F_value","P_value"
"funcleaf_area","Nir",2.98,0.09
"funcleaf_area","gene",2.057,0.038
"funcleaf_area","Nir:gene",1.442,0.179
"node_number","Nir",0.077,0.782
"node_number","gene",2.044,0.04
"node_number","Nir:gene",1.229,0.289
"leafbiomass","Nir",1.02,0.317
"leafbiomass","gene",0.338,0.973
"leafbiomass","Nir:gene",1.344,0.224
"stembiomass","Nir",0.66,0.42
"stembiomass","gene",2.085,0.035
"stembiomass","Nir:gene",2.278,0.021
"rootbiomass","Nir",4.083,0.048
"rootbiomass","gene",1.852,0.065
"rootbiomass","Nir:gene",1.668,0.103
"totalbiomass","Nir",2.863,0.096
"totalbiomass","gene",1.916,0.055
"totalbiomass","Nir:gene",1.791,0.076
