"gene","eff_value_funcleaf_area_mean","eff_value_funcleaf_area_se","eff_value_node_number_mean","eff_value_node_number_se","eff_value_leafbiomass_mean","eff_value_leafbiomass_se","eff_value_stembiomass_mean","eff_value_stembiomass_se","eff_value_rootbiomass_mean","eff_value_rootbiomass_se","eff_value_totalbiomass_mean","eff_value_totalbiomass_se"
"1",0.412212663940206,0.217880315942947,0.0468843930944602,0.136088194744267,0.459166092350103,0.321551472287296,0.528097982708934,0.510380965630887,1.71236360653048,0.600607220717406,0.915790817701028,0.457531809871834
"2",0.07149110008754,0.107837656221001,0.00408622260555749,0.223579744711846,0.445453530353221,0.529504324479615,0.248484848484849,0.433110771410979,0.0989758331924154,0.419811269024885,0.167733211669654,0.396221252033149
"3",0.459878832838773,0.169092690536354,0.435322405398513,0.156996970698173,1.19223416097962,0.056165936749306,0.823435631725787,0.230146219703383,0.718127552153101,0.277219485414505,0.788496757818124,0.0320252925601425
"4",1.13447098976109,0.0687465550437855,0.0962412411765266,0.255542506747991,1.3180570083682,0.202116682934198,0.969769291964996,0.298193551694113,-0.148974690906362,0.282525723325008,0.373561909060476,0.177921549784964
"5",0.774920812371902,0.237042653858362,-0.0420405020777442,0.0386233219756245,0.387474995254574,0.0707223849354342,-0.344554960469268,0.0994539587352519,-0.356888198189963,0.0971253698318849,-0.233688388007377,0.0853964590777087
"6",0.232589271815946,0.0880352212183575,0.373161395496386,0.0619425570713624,1.05528540002316,0.189242090999644,0.890508584386135,0.164958492051492,0.426429412056355,0.117233539425094,0.624941070510499,0.0926000397226367
"7",1.17787329853649,0.14820173856531,0.210644917915594,0.0442069020326435,1.5570981095843,0.132334202009623,1.60484219628188,0.0415388647872365,1.02299548791533,0.272892922725721,1.22500871179105,0.142989262277658
"8",0.423894506029967,0.226456538837545,0.581766381132437,0.0696477738113543,1.47553769794375,0.168762872463376,1.33251833740831,0.157096410417095,1.32971797429078,0.346210503954239,1.23547063984193,0.119716063901887
"9",0.404271548436308,0.035572505801312,0.247321714500871,0.0290028872045154,0.735334713595583,0.133114777399168,0.544117647058823,0.1713869771857,0.243826382764269,0.187693460474193,0.462973409072872,0.149434636041805
"10",0.665882634348589,0.278723422790085,0.184288233884899,0.0877403853774247,1.36932676400777,0.252001949464863,1.38778550148957,0.263056228136423,0.833081250331688,0.167241256994005,1.02670662014368,0.118407570395957
"11",0.75082817225983,0.163474129491132,0.0493247565289633,0.0363666729024848,0.908280418189982,0.364111665698074,0.679422835633626,0.397362860959021,0.0311070939566685,0.249476092924298,0.324934896670958,0.273857873161003
"12",0.675072206176405,0.188445408729148,0.351583277464888,0.07887265032557,0.968713287578062,0.0780335649377279,0.468468468468469,0.0141439827557212,0.45712434169093,0.349282502142451,0.48441890536386,0.11401453322294
