"variable","shapiro_p"
"funcleaf_area",0.756106305815777
"node_number",0.0477219802971651
"leafbiomass",0.22671618704915
"stembiomass",0.546928483732532
"rootbiomass",0.102909334862366
"totalbiomass",0.0586774357449108
